,EPPO_CODE,synonym,ds_language,NCBI_TAXID,preferred_name,EFSA_PHT
46,RALSPS,bacterial wilt,en,,Ralstonia pseudosolanacearum,RalstoniaSolanacearum-PHT
47,RALSPS,doença do mal murcho,pt,,Ralstonia pseudosolanacearum,RalstoniaPseudosolanacearum-PHT
48,RALSSC,banana blood disease,en,,Ralstonia syzygii subsp. celebesensis,RalstoniaSyzygiiSubspCelebesensis-PHT
49,XANTOR,bacterial blight of rice,en,,Xanthomonas oryzae pv. oryzae,XanthomonasOryzae-PHT
50,XANTOR,bacterial leaf blight of rice,en,,Xanthomonas oryzae pv. oryzae,XanthomonasOryzae-PHT
51,XANTOR,kresek disease of rice,en,,Xanthomonas oryzae pv. oryzae,XanthomonasOryzae-PHT
52,XANTOR,leaf blight of rice,en,,Xanthomonas oryzae pv. oryzae,XanthomonasOryzae-PHT
53,XANTOR,bactériose des feuilles du riz,fr,,Xanthomonas oryzae pv. oryzae,XanthomonasOryzae-PHT
54,XANTOR,enfermedad bacteriana de las hojas del arroz,es,,Xanthomonas oryzae pv. oryzae,XanthomonasOryzae-PHT
55,XANTOR,Бактериальный ожог риса,ru,,Xanthomonas oryzae pv. oryzae,XanthomonasOryzae-PHT
56,XANTTO,bacterial leaf streak of rice,en,,Xanthomonas oryzae pv. oryzicola,XanthomonasOryzae-PHT
57,XANTTO,leaf streak of rice,en,,Xanthomonas oryzae pv. oryzicola,XanthomonasOryzae-PHT
58,XANTTO,brûlure bactérienne du riz,fr,,Xanthomonas oryzae pv. oryzicola,XanthomonasOryzae-PHT
59,XANTTO,stries bactériennes du riz,fr,,Xanthomonas oryzae pv. oryzicola,XanthomonasOryzae-PHT
60,XANTTO,estrias bacterianas del arroz,es,,Xanthomonas oryzae pv. oryzicola,XanthomonasOryzae-PHT
61,XANTTO,quemaduras bacterianas del arroz,es,,Xanthomonas oryzae pv. oryzicola,XanthomonasOryzae-PHT
62,XANTTO,Бактериальная полосатость риса,ru,,Xanthomonas oryzae pv. oryzicola,XanthomonasOryzae-PHT
63,XANTAU,cancrosis B (B strains),en,,Xanthomonas citri pv. aurantifolii,XanthomonasCitriAurantifolii-PHT
64,XANTAU,citrus bacteriosis (D strains),en,,Xanthomonas citri pv. aurantifolii,XanthomonasCitriAurantifolii-PHT
65,XANTAU,citrus canker,en,,Xanthomonas citri pv. aurantifolii,XanthomonasCitriAurantifolii-PHT
66,XANTAU,citrus canker,en,,Xanthomonas citri pv. aurantifolii,XanthomonasCitriCitri-PHT
67,XANTCI,citrus canker,en,,Xanthomonas citri pv. citri,XanthomonasCitriAurantifolii-PHT
68,XANTCI,citrus canker,en,,Xanthomonas citri pv. citri,XanthomonasCitriCitri-PHT
69,XANTAU,false canker (B strains),en,,Xanthomonas citri pv. aurantifolii,XanthomonasCitriAurantifolii-PHT
70,XANTAU,Mexican lime cancrosis (C strains),en,,Xanthomonas citri pv. aurantifolii,XanthomonasCitriAurantifolii-PHT
71,XANTAU,South American canker,en,,Xanthomonas citri pv. aurantifolii,XanthomonasCitriAurantifolii-PHT
72,XANTAU,chancre citrique,fr,,Xanthomonas citri pv. aurantifolii,XanthomonasCitriAurantifolii-PHT
73,XANTAU,chancre citrique,fr,,Xanthomonas citri pv. aurantifolii,XanthomonasCitriCitri-PHT
74,XANTCI,chancre citrique,fr,,Xanthomonas citri pv. citri,XanthomonasCitriAurantifolii-PHT
75,XANTCI,chancre citrique,fr,,Xanthomonas citri pv. citri,XanthomonasCitriCitri-PHT
76,XANTCI,Asiatic canker,en,,Xanthomonas citri pv. citri,XanthomonasCitriCitri-PHT
77,XANTCI,Asiatic citrus canker (A strains),en,,Xanthomonas citri pv. citri,XanthomonasCitriCitri-PHT
78,XANTCI,bacterial canker of citrus,en,,Xanthomonas citri pv. citri,XanthomonasCitriCitri-PHT
79,XANTCI,cancrosis A (A strains),en,,Xanthomonas citri pv. citri,XanthomonasCitriCitri-PHT
80,XANTCI,Zitruskrebs,de,,Xanthomonas citri pv. citri,XanthomonasCitriCitri-PHT
81,XANTCI,bactériose des agrumes,fr,,Xanthomonas citri pv. citri,XanthomonasCitriCitri-PHT
82,XANTCI,chancre bactérien des agrumes,fr,,Xanthomonas citri pv. citri,XanthomonasCitriCitri-PHT
83,XANTCI,chancre des agrumes,fr,,Xanthomonas citri pv. citri,XanthomonasCitriCitri-PHT
84,XANTCI,bacteriosis del limonero,es,,Xanthomonas citri pv. citri,XanthomonasCitriCitri-PHT
85,XANTCI,cancrosis asiática (A),es,,Xanthomonas citri pv. citri,XanthomonasCitriCitri-PHT
86,XANTCI,cancrosis de los cítricos,es,,Xanthomonas citri pv. citri,XanthomonasCitriCitri-PHT
87,XANTCI,cancro batterico degli agrumi,it,,Xanthomonas citri pv. citri,XanthomonasCitriCitri-PHT
88,XANTCI,cancro-cítrico,pt,,Xanthomonas citri pv. citri,XanthomonasCitriCitri-PHT
89,XANTCI,рак цитрусовых,ru,,Xanthomonas citri pv. citri,XanthomonasCitriCitri-PHT
90,CRSPAN,blight of hazel,en,,Anisogramma anomala,AnisogrammaAnomala-PHT
91,CRSPAN,eastern blight of filbert,en,,Anisogramma anomala,AnisogrammaAnomala-PHT
92,CRSPAN,brûlure orientale du noisetier,fr,,Anisogramma anomala,AnisogrammaAnomala-PHT
93,DIBOMO,black knot of cherry,en,,Apiosporina morbosa,ApiosporinaMorbosa-PHT
94,DIBOMO,black knot of plum,en,,Apiosporina morbosa,ApiosporinaMorbosa-PHT
95,DIBOMO,black knot of stone fruits,en,,Apiosporina morbosa,ApiosporinaMorbosa-PHT
96,DIBOMO,nodule noir du cerisier,fr,,Apiosporina morbosa,ApiosporinaMorbosa-PHT
97,DIBOMO,nodule noir du pêcher,fr,,Apiosporina morbosa,ApiosporinaMorbosa-PHT
98,DIBOMO,nodule noir du prunier,fr,,Apiosporina morbosa,ApiosporinaMorbosa-PHT
99,DIBOMO,nodulo negro del cerezo,es,,Apiosporina morbosa,ApiosporinaMorbosa-PHT
100,DIBOMO,nodulo negro del ciruelo,es,,Apiosporina morbosa,ApiosporinaMorbosa-PHT
