,NCBI_TAXID,preferred_name,synonym,pivot,EFSA_PHT
0,ncbi:264456,Pseudomonas syringae pv. retacarpa,Pseudomonas syringae pv. retacarpa,pseudomonas syringae pv. retacarpa,PseudomonasSyringaePvActinidiae-PHT
1,ncbi:555699,Cladosporium sp. BADHUN 0701,Cladosporium sp. BADHUN 0701,cladosporium sp. badhun 0701,CladosporiumSp-PHT
2,ncbi:2180012,Draeculacephala sp. BIOUG26718-H08,Draeculacephala sp. BIOUG26718 H08,draeculacephala sp. bioug26718 h08,DraeculacephalaSp-PHT
3,ncbi:2911890,Choristoneura occidentalis biennis,"Choristoneura occidentalis biennis Freeman, 1967","choristoneura occidentalis biennis freeman, 1967",ChoristoneuraOccidentalisBiennis-PHT
