,EPPO_CODE,EFSA_PHT,NCBI_TAXID,preferred_name,synonym,re,ds_language,match_language
50,LIBEAS,,,'Candidatus Liberibacter asiaticus','Candidatus Liberibacter asiaticus',,es,
51,LIBEAS,,,'Candidatus Liberibacter asiaticus','Candidatus Liberibacter asiaticus',,zh,
52,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,Curtobacterium flaccumfaciens pv. flaccumfaciens,,en,
53,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,Curtobacterium flaccumfaciens pv. flaccumfaciens,,en,
54,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,Curtobacterium flaccumfaciens pv. flaccumfaciens,,en,
55,LIBEAF,,,'Candidatus Liberibacter africanus','Candidatus Liberibacter africanus',,,
56,LIBEAF,,,'Candidatus Liberibacter africanus','Candidatus Liberibacter africanus',,,
57,LIBEAF,,,'Candidatus Liberibacter africanus','Candidatus Liberibacter africanus',,,
58,LIBEAM,,,'Candidatus Liberibacter americanus','Candidatus Liberibacter americanus',,,
59,LIBEAS,,,'Candidatus Liberibacter asiaticus','Candidatus Liberibacter asiaticus',,,
60,LIBEAS,,,'Candidatus Liberibacter asiaticus','Candidatus Liberibacter asiaticus',,,
61,LIBEAS,,,'Candidatus Liberibacter asiaticus','Candidatus Liberibacter asiaticus',,,
62,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,Curtobacterium flaccumfaciens pv. flaccumfaciens,,,
63,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,Curtobacterium flaccumfaciens pv. flaccumfaciens,,,
64,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,Curtobacterium flaccumfaciens pv. flaccumfaciens,,,
65,CORBFL,,,Curtobacterium flaccumfaciens pv. flaccumfaciens,Curtobacterium flaccumfaciens pv. flaccumfaciens,,,
